Id,Observation Season,Name,Constellation area in square degrees,Declination,RA (Right Ascension,Principal star,Constellation area in % of the celestial sphere,Constellation zone (celestial equator),Constellation zone (ecliptic),Constellation zone (Milky Way),Quad,Name origin,Meaning,Image,Story,First Appeared
oph,Winter,Ophiuchus,948.34,"-07° 54,74'","19:36,71",Rasalhague,"2,30 %",Equatorial constellation,Zodiacal constellation # 10,Milky Way Equator,South Hemisphere Quadrant 3,Ptolémée,the Serpent Bearer,https://www.iau.org/static/public/constellations/gif/OPH.gif,"The serpent bearer; in Greek mythology, Asclepius, the god of medicine, depicted in the sky holding the snake Serpens.",Ancient
sct,Summer,Scutum,109.114,"-09° 53,32'","15:54,18",α Scuti,"0,26 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 4,Hevelius,the Shield,https://www.iau.org/static/public/constellations/gif/SCT.gif,The shield; a constellation honouring King John III Sobieski of Poland – the only politically inspired constellation still in use.,1684 (Hevelius)
lup,Spring,Lupus,333.683,"-42° 42,53'","07:59,53",α Lupi,"0,81 %",South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 3,Ptolémée,the Wolf,https://www.iau.org/static/public/constellations/gif/LUP.gif,"The wolf; an ancient constellation, but without mythological association.",Ancient
hor,Southern hemisphere constellation,Horologium,248.885,"-53° 20,18'","03:16,56",α Horologii,"0,60 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille,the Clock,https://www.iau.org/static/public/constellations/gif/HOR.gif,The pendulum clock; a modern constellation introduced by Lacaille in 1756.,1756 (Lacaille)
men,Southern hemisphere constellation,Mensa,153.484,"-77° 30,24'","20:57,88",α Mensae,"0,37 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille,the Table Mountain,https://www.iau.org/static/public/constellations/gif/MEN.gif,"Table Mountain, South Africa; a modern constellation introduced by Lacaille in 1756, celebrating his southern-hemisphere observing site.",1756 (Lacaille)
ind,Southern hemisphere constellation,Indus,294.006,"-59° 42,40'","21:58,33",α Indi,"0,71 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Bayer,the Indian,https://www.iau.org/static/public/constellations/gif/IND.gif,The Indian; introduced as a constellation by Keyser & de Houtman in 1598.,1598 (Keyser & de Houtman)
mus,Southern hemisphere constellation,Musca,138.355,"-70° 09,66'","16:08,65",α Muscae,"0,34 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Bayer,the Fly,https://www.iau.org/static/public/constellations/gif/MUS.gif,The fly; a constellation introduced by Keyser & de Houtman in 1598.,1598 (Keyser & de Houtman)
psc,Autumn,Pisces,889.417,"+13° 41,23'","15:00,00",Alpherg,"2,16 %",Equatorial constellation,Zodiacal constellation # 1,,North Hemisphere Quadrant 1,Ptolémée,the Fishes,https://www.iau.org/static/public/constellations/gif/PSC.gif,"Two fishes, swimming in opposite directions with their tails connected by a cord.",Ancient
peg,Summer,Pegasus,1120.79,"+19° 27,98'","03:10,50",Enif,"2,72 %",North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolémée,the Winged Horse,https://www.iau.org/static/public/constellations/gif/PEG.gif,"The winged horse; in Greek mythology, used by Zeus to carry thunder and lightning.",Ancient
lep,Autumn,Lepus,290.291,"-19° 02,78'","05:33,95",Arneb,"0,70 %",South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Ptolémée,the Hare,https://www.iau.org/static/public/constellations/gif/LEP.gif,The hare; often depicted being chased by Orion and his two dogs.,Ancient
